total_orders,returned_orders,return_rate,cancelled_orders,avg_order_value,seller_total_sales,seller_returns,seller_return_rate,avg_rating,negative_review_percent,reviews_same_seller,repeated_review_similarity,fraud_label,fraud_type
59,4,0.068,14,26660,502,107,0.213,4.45,21.67,17,0.178,0,NONE
41,14,0.341,2,34255,1498,649,0.433,2.03,63.2,25,0.988,1,REPEATED_REVIEW
39,6,0.154,4,32617,656,166,0.253,3.9,1.58,24,0.128,0,NONE
23,3,0.13,1,34393,573,287,0.501,2.1,7.94,40,0.645,0,NONE
40,2,0.05,8,31867,1396,890,0.638,2.37,61.72,13,0.519,0,NONE
6,3,0.5,0,11256,447,26,0.058,3.56,27.11,8,0.651,0,NONE
48,2,0.042,5,5749,746,171,0.229,3.65,55.78,34,0.446,0,NONE
12,5,0.417,1,61463,472,286,0.606,4.02,17.05,42,0.097,0,NONE
59,15,0.254,11,29828,1443,907,0.629,4.92,47.49,30,0.235,0,NONE
96,4,0.042,19,63211,383,120,0.313,3.69,9.29,22,0.089,0,NONE
107,31,0.29,0,77059,479,37,0.077,1.64,6.31,36,0.303,0,NONE
118,65,0.551,20,36085,780,448,0.574,2.22,39.7,23,0.942,1,REPEATED_REVIEW
86,54,0.628,5,65950,162,85,0.525,3.27,39.1,12,0.931,1,REPEATED_REVIEW
46,17,0.37,12,35094,1201,215,0.179,3.13,72.14,3,0.79,1,RETURN_ABUSE
56,13,0.232,8,78722,1448,674,0.465,1.69,69.5,18,0.957,1,REPEATED_REVIEW
86,9,0.105,24,75020,272,53,0.195,2.25,60.64,1,0.606,0,NONE
58,45,0.776,2,35798,1980,901,0.455,1.59,36.75,8,0.478,1,SELLER_SUSPICIOUS
72,24,0.333,14,47159,1216,11,0.009,4.86,43.25,13,0.936,0,NONE
24,17,0.708,4,55599,466,159,0.341,1.86,61.96,23,0.152,1,SELLER_SUSPICIOUS
119,4,0.034,18,43413,797,344,0.432,1.23,99.49,31,0.695,0,NONE
77,22,0.286,18,45436,1142,148,0.13,1.49,30.33,7,0.692,0,NONE
101,3,0.03,3,55323,804,100,0.124,3.46,30.63,36,0.527,0,NONE
107,49,0.458,30,42968,1671,767,0.459,1.78,36.78,28,0.482,1,SELLER_SUSPICIOUS
75,36,0.48,21,69752,529,182,0.344,2.66,48.13,38,0.26,0,NONE
14,6,0.429,1,6042,920,64,0.07,2.29,83.43,45,0.976,1,REPEATED_REVIEW
86,44,0.512,3,41924,1014,496,0.489,3.19,45.44,26,0.127,0,NONE
38,19,0.5,1,21723,1270,744,0.586,3.46,85.96,42,0.785,1,SELLER_SUSPICIOUS
17,0,0.0,0,31411,36,23,0.639,2.26,68.81,48,0.255,0,NONE
14,1,0.071,1,29171,1999,231,0.116,2.85,63.72,34,0.386,0,NONE
90,71,0.789,16,49730,1956,955,0.488,2.8,88.25,5,0.737,1,SELLER_SUSPICIOUS
69,22,0.319,4,42491,864,199,0.23,1.34,71.63,45,0.802,1,RETURN_ABUSE
103,23,0.223,16,17031,296,57,0.193,2.85,99.16,15,0.942,1,REPEATED_REVIEW
119,27,0.227,4,76795,1363,137,0.101,1.08,8.22,28,0.899,0,NONE
12,7,0.583,0,35644,981,462,0.471,1.82,12.14,4,0.775,1,SELLER_SUSPICIOUS
45,24,0.533,9,62058,209,113,0.541,2.29,12.52,27,0.98,1,REPEATED_REVIEW
17,4,0.235,3,58366,541,270,0.499,1.44,59.85,9,0.372,0,NONE
63,13,0.206,17,78311,433,212,0.49,3.7,49.6,49,0.646,0,NONE
103,31,0.301,29,49258,58,11,0.19,4.68,25.22,13,0.221,0,NONE
12,7,0.583,1,15071,1779,202,0.114,2.28,75.32,25,0.937,1,REPEATED_REVIEW
33,12,0.364,1,13557,560,212,0.379,3.9,81.78,31,0.488,1,SELLER_SUSPICIOUS
27,11,0.407,4,4254,440,188,0.427,3.97,61.19,19,0.152,0,NONE
34,6,0.176,8,56947,1272,110,0.086,1.64,55.8,8,0.247,0,NONE
9,2,0.222,0,39287,1147,482,0.42,2.61,80.01,43,0.311,0,NONE
25,13,0.52,6,25998,1109,111,0.1,4.14,55.42,22,0.848,1,RETURN_ABUSE
62,11,0.177,16,63937,1057,632,0.598,4.83,36.79,11,0.756,1,SELLER_SUSPICIOUS
99,69,0.697,23,24262,1144,697,0.609,2.47,44.86,20,0.78,1,SELLER_SUSPICIOUS
103,25,0.243,4,73945,1512,821,0.543,3.78,0.32,38,0.167,0,NONE
64,44,0.688,16,28266,602,3,0.005,3.04,72.34,37,0.58,1,RETURN_ABUSE
59,3,0.051,1,16529,613,402,0.656,2.08,82.5,49,0.636,1,SELLER_SUSPICIOUS
87,21,0.241,23,42592,1119,541,0.483,4.93,20.98,36,0.517,0,NONE
52,35,0.673,13,29354,132,54,0.409,1.94,37.14,49,0.598,1,SELLER_SUSPICIOUS
51,10,0.196,8,34287,1161,160,0.138,2.68,63.62,48,0.178,0,NONE
19,5,0.263,3,57918,1914,136,0.071,4.8,20.29,10,0.335,0,NONE
81,42,0.519,16,6897,1673,709,0.424,3.07,29.87,19,0.259,0,NONE
50,25,0.5,2,63312,1875,48,0.026,2.74,93.74,36,0.133,0,NONE
8,5,0.625,0,57114,1029,640,0.622,4.12,0.7,41,0.159,0,NONE
64,43,0.672,3,23752,945,407,0.431,1.23,28.22,28,0.276,1,SELLER_SUSPICIOUS
59,27,0.458,13,17515,925,399,0.431,4.04,44.97,13,0.268,0,NONE
77,44,0.571,3,59563,1662,595,0.358,3.48,56.2,21,0.532,1,SELLER_SUSPICIOUS
37,26,0.703,6,14789,691,247,0.357,3.19,12.8,48,0.937,1,REPEATED_REVIEW
46,25,0.543,11,23169,1356,164,0.121,4.93,25.65,3,0.725,0,NONE
41,23,0.561,0,18822,390,160,0.41,1.6,22.53,42,0.089,0,NONE
90,32,0.356,16,75915,1616,572,0.354,4.44,72.28,41,0.792,1,SELLER_SUSPICIOUS
53,16,0.302,1,51169,217,97,0.447,2.94,16.58,2,0.664,0,NONE
61,1,0.016,9,66133,1187,434,0.366,3.6,54.54,24,0.787,0,NONE
42,9,0.214,2,67763,262,62,0.237,2.99,33.98,21,0.165,0,NONE
72,45,0.625,19,31433,1698,375,0.221,1.51,65.96,28,0.255,0,NONE
109,39,0.358,25,40461,900,446,0.496,3.21,9.42,3,0.909,1,REPEATED_REVIEW
101,41,0.406,19,19158,793,435,0.549,2.81,39.74,43,0.776,1,SELLER_SUSPICIOUS
55,10,0.182,7,72447,1629,7,0.004,2.15,79.29,36,0.276,0,NONE
76,54,0.711,8,21538,1954,237,0.121,3.13,15.8,20,0.558,0,NONE
6,2,0.333,0,38211,406,258,0.635,4.59,16.89,38,0.141,0,NONE
5,2,0.4,0,65531,632,415,0.657,3.62,15.21,4,0.799,1,SELLER_SUSPICIOUS
114,18,0.158,31,63487,1950,813,0.417,2.28,98.84,45,0.984,1,REPEATED_REVIEW
25,12,0.48,1,1783,943,101,0.107,4.92,65.61,27,0.687,1,RETURN_ABUSE
7,0,0.0,1,24717,1425,644,0.452,4.89,33.68,9,0.819,0,NONE
54,5,0.093,2,30590,1493,942,0.631,3.61,31.41,24,0.494,0,NONE
7,3,0.429,1,59665,1005,276,0.275,1.45,8.72,33,0.24,0,NONE
56,33,0.589,8,72486,962,337,0.35,4.0,65.11,48,0.577,1,SELLER_SUSPICIOUS
21,4,0.19,3,18558,881,288,0.327,1.51,67.62,2,0.315,0,NONE
32,14,0.438,6,76729,220,147,0.668,1.91,83.7,23,0.077,1,SELLER_SUSPICIOUS
71,3,0.042,14,55577,162,62,0.383,1.27,76.32,46,0.759,0,NONE
104,75,0.721,16,54298,412,251,0.609,3.66,26.03,33,0.874,1,REPEATED_REVIEW
95,22,0.232,26,15723,577,37,0.064,1.91,38.16,35,0.413,0,NONE
82,24,0.293,7,23883,289,153,0.529,4.86,12.75,19,0.973,1,REPEATED_REVIEW
7,1,0.143,0,24764,303,211,0.696,4.93,62.13,9,0.305,0,NONE
23,14,0.609,3,4993,1163,436,0.375,3.16,9.65,30,0.046,0,NONE
37,23,0.622,3,47233,1246,820,0.658,2.19,29.99,30,0.599,1,SELLER_SUSPICIOUS
72,27,0.375,7,15349,1916,1150,0.6,3.5,53.13,49,0.285,0,NONE
16,2,0.125,2,65587,513,49,0.096,3.29,65.88,48,0.831,0,NONE
71,43,0.606,0,73192,1244,444,0.357,1.13,86.86,34,0.879,1,REPEATED_REVIEW
69,7,0.101,12,32674,1467,331,0.226,4.64,46.44,15,0.602,0,NONE
30,19,0.633,5,15067,552,306,0.554,2.78,78.88,4,0.676,1,SELLER_SUSPICIOUS
96,27,0.281,3,31295,1984,578,0.291,3.61,95.05,34,0.473,0,NONE
109,0,0.0,7,42570,1977,1285,0.65,4.57,0.29,12,0.604,0,NONE
31,7,0.226,2,29533,1492,440,0.295,2.33,48.2,40,0.47,0,NONE
52,19,0.365,7,71844,672,188,0.28,1.02,0.77,8,0.037,0,NONE
101,38,0.376,20,4328,1988,703,0.354,3.05,29.35,41,0.397,0,NONE
41,16,0.39,8,34123,1832,818,0.447,4.52,57.48,39,0.494,1,SELLER_SUSPICIOUS
15,2,0.133,2,60018,1601,0,0.0,2.56,72.99,8,0.908,0,NONE
113,11,0.097,32,64589,122,68,0.557,1.01,63.64,23,0.718,0,NONE
51,22,0.431,0,22690,1895,849,0.448,2.03,66.53,33,0.456,1,SELLER_SUSPICIOUS
